Season,Characters
Season_5A,Patrick Kuby
Season_5A,Wallace
Season_5A,Engineer
Season_5A,Sandor
Season_5A,Fernando
Season_5A,Janice
Season_5A,Boy
Season_5A,Good Samaritan
Season_5A,Walter White
Season_5A,Skyler White
Season_5A,Jesse Pinkman
Season_5A,Hank Schrader
Season_5A,Marie Schrader
Season_5A,Walter White Jr.
Season_5A,Saul Goodman
Season_5A,Mike Ehrmantraut
Season_5A,Todd Alquist
Season_5A,Steven Gomez
Season_5A,Declan
Season_5A,Kaylee
Season_5A,Dirt Bike Boy
Season_5A,Declan's Driver
Season_5A,DEA Agent
Season_5A,TV Reporter
Season_5A,Walter White
Season_5A,Skyler White
Season_5A,Jesse Pinkman
Season_5A,Hank Schrader
Season_5A,Marie Schrader
Season_5A,Walter White Jr.
Season_5A,Saul Goodman
Season_5A,Mike Ehrmantraut
Season_5A,Todd Alquist
Season_5A,Steven Gomez
Season_5A,Declan
Season_5A,SAC Ramey
Season_5A,Kaylee
Season_5A,Dan Wachsberger
Season_5A,Dorothy
Season_5A,Declan's Driver
Season_5A,DEA Agent
Season_5A,Senior DEA Agent
Season_5A,Airport Traveler
Season_5A,Walter White
Season_5A,Skyler White
Season_5A,Jesse Pinkman
Season_5A,Hank Schrader
Season_5A,Marie Schrader
Season_5A,Walter White Jr.
Season_5A,Saul Goodman
Season_5A,Mike Ehrmantraut
Season_5A,Lydia Rodarte-Quayle
Season_5A,Todd Alquist
Season_5A,Steven Gomez
Season_5A,Jack Welker
Season_5A,Kenny
Season_5A,Dennis Markowski
Season_5A,Dan Wachsberger
Season_5A,Declan's Driver
Season_5A,Ron
Season_5A,TV Reporter
Season_5A,Gang Guy
Season_5A,Public Defender
Season_5A,Asst. US Attorney
Season_5A,Prison Guard
Season_5A,Prison Inmate
Season_5B,Walter White
Season_5B,Skyler White
Season_5B,Jesse Pinkman
Season_5B,Hank Schrader
Season_5B,Marie Schrader
Season_5B,Walter White Jr.
Season_5B,Saul Goodman
Season_5B,Lydia Rodarte-Quayle
Season_5B,Todd Alquist
Season_5B,Badger
Season_5B,Skinny Pete
Season_5B,Huell Babineaux
Season_5B,Francesca
Season_5B,Mariano
Season_5B,Carol
Season_5B,Min-Ye
Season_5B,DEA Agent Artie
Season_5B,DEA Agent Scott
Season_5B,Homeless Man
Season_5B,Homeowner
Season_5B,Skater
Season_5B,Neighbor
Season_5B,Car Wash Patron
Season_5B,Walter White
Season_5B,Skyler White
Season_5B,Jesse Pinkman
Season_5B,Hank Schrader
Season_5B,Marie Schrader
Season_5B,Walter White Jr.
Season_5B,Saul Goodman
Season_5B,Lydia Rodarte-Quayle
Season_5B,Todd Alquist
Season_5B,Steven Gomez
Season_5B,Patrick Kuby
Season_5B,Huell Babineaux
